freq,sitc06,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TOTAL,DAC,MIO_EUR,EL	5935 	6438 	5773 	6217 	7508 	8741 	11597 	13970 	15176 	11347 	11509 	12469 	13378 	13454 	14584 	12195 	12089 	14123 	17620 	17693 	13809 	21504 	34238 	31188 
A,TOTAL,DAC,MIO_EUR,ES	29889 	30088 	30023 	31599 	37517 	48987 	63888 	69294 	76477 	51828 	66598 	75270 	80513 	76864 	79326 	77375 	74473 	88096 	95761 	94646 	78858 	103270 	149669 	127731 
A,TOTAL,DAC,MIO_EUR,EU27_2020	: 	: 	298011 	313370 	359974 	434439 	555338 	617097 	675718 	515583 	662181 	738107 	749021 	709569 	726284 	756664 	745676 	836037 	893915 	917216 	852098 	1081962 	1509269 	1292418 
A,TOTAL,DAC,MIO_EUR,FI	2505 	2451 	2461 	2763 	3373 	4150 	5862 	6410 	6552 	4440 	5252 	6427 	6081 	5248 	5278 	4651 	4514 	4886 	5115 	4785 	5048 	7058 	10049 	7222 
A,TOTAL,DAC,MIO_EUR,FR	45438 	45346 	43291 	42547 	47819 	58862 	64897 	69761 	76222 	61054 	75069 	86988 	87133 	83139 	82034 	82539 	77433 	85051 	90726 	93338 	83822 	101475 	135938 	122685 
A,TOTAL,DAC,MIO_EUR,HR	825 	1085 	1371 	1468 	1756 	2073 	2478 	3281 	3704 	2899 	3422 	3790 	3604 	3471 	2427 	2805 	3101 	3643 	4016 	3891 	4259 	5599 	8057 	6997 
A,TOTAL,DAC,MIO_EUR,HU	3012 	3878 	5103 	5497 	6287 	6196 	7729 	9685 	10270 	7916 	9996 	10337 	10062 	10127 	9458 	10405 	10845 	13018 	14614 	15926 	17043 	19812 	25356 	21863 
A,TOTAL,DAC,MIO_EUR,IE	2845 	2881 	2965 	3286 	3428 	4021 	4271 	4549 	4105 	3918 	4554 	5183 	6561 	5253 	5832 	6269 	6070 	6420 	7048 	6831 	7476 	12598 	20290 	16275 
A,TOTAL,DAC,MIO_EUR,IT	45289 	45360 	44052 	45033 	53104 	63050 	94895 	101458 	109909 	77800 	108337 	115245 	110061 	96456 	92819 	93921 	89190 	98697 	107128 	105975 	88783 	120849 	196937 	160733 
A,TOTAL,DAC,MIO_EUR,LT	301 	387 	504 	591 	494 	611 	1329 	1613 	1829 	1054 	1430 	1902 	2109 	2326 	2740 	2910 	2448 	3229 	3381 	3488 	3541 	5564 	5573 	4101 
A,TOTAL,DAC,MIO_EUR,LU	272 	279 	185 	1714 	2300 	2771 	4050 	3688 	4249 	3467 	1970 	2013 	2376 	2022 	2068 	3488 	2151 	1258 	903 	1686 	483 	561 	682 	689 
A,TOTAL,DAC,MIO_EUR,LV	79 	91 	119 	143 	166 	245 	889 	993 	1027 	620 	830 	1189 	1313 	1213 	1141 	1153 	1046 	1266 	1467 	1521 	1599 	2154 	2521 	2361 
A,TOTAL,DAC,MIO_EUR,MT	204 	202 	230 	279 	285 	235 	314 	295 	303 	271 	399 	430 	507 	521 	614 	665 	666 	727 	787 	865 	848 	949 	1106 	1184 
A,TOTAL,DAC,MIO_EUR,NL	41917 	42537 	43095 	46433 	54149 	69495 	80565 	90442 	100394 	82472 	104976 	115065 	126523 	118218 	120621 	128680 	131391 	152054 	156522 	167445 	162100 	195919 	266981 	236663 
A,TOTAL,DAC,MIO_EUR,PL	4072 	5097 	5705 	6151 	5839 	6026 	10224 	12630 	15155 	11801 	14278 	16598 	16894 	17565 	21585 	25917 	26464 	30639 	35285 	38952 	41009 	54950 	70742 	59967 
A,TOTAL,DAC,MIO_EUR,PT	5340 	5171 	4859 	4504 	5760 	7503 	9129 	9993 	11368 	7269 	9836 	11096 	12119 	11774 	10610 	9983 	9132 	10395 	11973 	12834 	10917 	20408 	22305 	18397 
A,TOTAL,DAC,MIO_EUR,RO	1554 	1900 	2368 	2575 	3868 	5747 	7888 	8762 	11053 	7001 	8557 	10332 	9403 	8664 	9694 	9906 	10921 	12812 	15012 	15866 	14727 	19130 	26911 	25895 
A,TOTAL,DAC,MIO_EUR,SE	6116 	5666 	5119 	5765 	6428 	7296 	8971 	10351 	11061 	8919 	11408 	12889 	13670 	13766 	14291 	14731 	14363 	15830 	17078 	16556 	14935 	19422 	25094 	19902 
A,TOTAL,DAC,MIO_EUR,SI	1198 	1271 	1351 	1478 	1502 	2108 	3068 	3866 	4552 	3769 	5019 	4396 	4273 	4404 	4612 	5463 	5507 	6651 	7816 	8412 	8042 	13308 	16960 	19749 
A,TOTAL,DAC,MIO_EUR,SK	553 	746 	940 	1119 	1064 	1038 	2025 	3118 	3873 	2726 	3920 	4313 	4647 	4825 	5085 	5428 	5924 	6582 	6877 	7059 	6675 	9053 	11442 	10405 
A,TOTAL,LDC,MIO_EUR,AT	55 	50 	57 	63 	77 	55 	77 	90 	81 	43 	42 	62 	78 	93 	168 	222 	349 	408 	416 	498 	388 	443 	540 	273 
A,TOTAL,LDC,MIO_EUR,BE	2740 	2831 	2924 	1939 	1953 	2636 	2280 	2213 	2050 	1655 	2197 	2768 	3117 	2828 	3372 	3704 	3507 	3159 	3639 	3781 	3100 	3037 	4592 	3328 
A,TOTAL,LDC,MIO_EUR,BG	5 	4 	6 	5 	6 	18 	5 	3 	6 	15 	18 	19 	10 	112 	128 	112 	69 	46 	60 	66 	161 	63 	186 	190 
