freq,fin_source,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,GRNT_NGO,MEUR_KP21,LU	12 	10 	3 	10 	9 	11 	10 	9 	11 	13 	9 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	44 
A,GRNT_NGO,MEUR_KP21,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 
A,GRNT_NGO,MEUR_KP21,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,GRNT_NGO,MEUR_KP21,NL	478 	370 	363 	437 	427 	429 	272 	303 	270 	458 	578 	193 	472 	1292 	141 	39 	1384 	84 	: 	1167 	1797 	: 	: 
A,GRNT_NGO,MEUR_KP21,NO	307 	362 	705 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GRNT_NGO,MEUR_KP21,PT	: 	8 	5 	5 	3 	7 	4 	1 	1 	4 	4 	4 	6 	6 	6 	13 	7 	10 	9 	30 	28 	25 	32 
A,GRNT_NGO,MEUR_KP21,SE	34 	23 	26 	26 	30 	29 	12 	68 	21 	69 	193 	24 	15 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GRNT_NGO,MEUR_KP21,TR	: 	: 	: 	: 	: 	36 	48 	24 	34 	58 	51 	99 	55 	115 	174 	291 	412 	484 	643 	280 	347 	299 	290 
A,ODA,MEUR_KP21,AT	694 	1009 	779 	622 	747 	1691 	1566 	1696 	1496 	1014 	1118 	962 	1015 	1024 	1058 	1326 	1614 	1199 	1048 	1146 	1182 	1262 	1673 
A,ODA,MEUR_KP21,BE	1281 	1368 	1580 	2238 	1577 	2072 	2020 	1793 	2042 	2301 	2734 	2390 	2091 	1985 	2093 	1923 	2287 	2103 	2115 	2060 	2146 	2240 	2393 
A,ODA,MEUR_KP21,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37 	41 	35 	43 	42 	39 	65 	59 	62 	61 	77 	77 	203 
A,ODA,MEUR_KP21,CH	1503 	1518 	1452 	1716 	1879 	2141 	1959 	1875 	2042 	2278 	2175 	2456 	2594 	2692 	2943 	3141 	3284 	2894 	2807 	2854 	3266 	3307 	3856 
A,ODA,MEUR_KP21,CY	: 	: 	: 	: 	: 	15 	26 	32 	33 	42 	46 	32 	22 	18 	16 	17 	: 	: 	23 	18 	13 	17 	12 
A,ODA,MEUR_KP21,CZ	37 	57 	82 	139 	146 	170 	190 	183 	214 	196 	212 	216 	207 	196 	204 	225 	289 	319 	290 	298 	280 	310 	881 
A,ODA,MEUR_KP21,DE	7434 	7491 	7493 	7859 	7850 	10458 	10675 	11329 	12120 	10650 	11961 	12233 	11972 	12499 	14296 	18179 	24813 	24241 	23303 	22606 	26513 	27442 	32785 
A,ODA,MEUR_KP21,DK	2627 	2589 	2410 	2108 	2190 	2206 	2272 	2327 	2321 	2395 	2493 	2411 	2337 	2443 	2481 	2526 	2329 	2333 	2331 	2403 	2387 	2464 	2427 
