freq,aquaenv,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,INL_NR,LT	98 	98 	96 	96 	96 	98 	98 	101 	101 	104 	104 	105 
A,INL_NR,LU	20 	11 	11 	11 	11 	11 	12 	15 	17 	17 	17 	17 
A,INL_NR,LV	14 	14 	18 	21 	22 	23 	23 	23 	24 	24 	24 	25 
A,INL_NR,NL	603 	606 	622 	625 	623 	627 	628 	634 	634 	645 	648 	649 
A,INL_NR,PL	131 	133 	122 	116 	114 	112 	108 	337 	443 	436 	495 	523 
A,INL_NR,PT	83 	89 	97 	106 	109 	115 	123 	128 	133 	137 	150 	157 
A,INL_NR,RO	: 	: 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
A,INL_NR,SE	198 	200 	199 	199 	199 	199 	197 	192 	194 	197 	200 	200 
A,INL_NR,SI	26 	26 	26 	26 	26 	26 	26 	26 	26 	26 	26 	26 
A,INL_NR,SK	34 	33 	33 	33 	33 	33 	32 	32 	32 	32 	32 	32 
