freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,LI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	0.2 	0.0 	0.0 	2.9 	0.6 	9.2 	29.5 	3.3 	9.5 	0.0 	2.6 
A,PC,LT	0.0 	0.0 	29.3 	5.7 	0.0 	0.0 	8.8 	0.0 	2.3 	1.9 	0.4 	0.0 	0.0 	0.0 	0.0 	2.0 	0.1 	0.0 	18.8 	50.7 	4.4 	0.4 	0.0 
A,PC,LU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	42.7 	0.0 	0.0 	0.0 	0.0 	0.0 	13.2 	22.0 	29.5 	74.0 	0.0 	71.7 
A,PC,LV	0.6 	0.0 	14.1 	12.8 	0.0 	0.0 	24.2 	0.0 	0.4 	4.0 	7.9 	0.0 	0.1 	0.3 	0.8 	0.4 	0.9 	0.2 	8.0 	20.0 	1.9 	2.6 	1.4 
A,PC,ME	12.7 	0.0 	0.0 	6.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	30.0 	0.0 	0.0 	2.0 	0.0 	8.1 	0.1 	0.3 	1.2 	4.3 	25.5 
A,PC,MK	4.4 	14.2 	0.0 	0.0 	0.0 	0.0 	0.0 	1.3 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	7.8 	0.0 	0.1 	0.0 	0.1 	2.9 
A,PC,MT	0.0 	0.0 	6.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	47.3 	0.0 	0.0 	24.8 	0.0 	0.0 	73.3 	0.1 	15.8 	0.0 	0.7 	0.8 	1.0 
A,PC,NL	0.0 	0.0 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	35.1 	6.0 	18.8 	0.0 	14.8 
A,PC,NO	0.0 	0.0 	1.0 	1.5 	0.0 	0.0 	0.2 	0.0 	0.7 	0.1 	0.4 	0.6 	0.2 	0.9 	4.0 	1.4 	0.7 	0.3 	4.5 	1.6 	1.5 	5.3 	2.5 
A,PC,PL	2.4 	0.0 	2.2 	15.9 	2.6 	1.6 	5.9 	0.2 	0.0 	0.0 	0.0 	0.0 	8.3 	0.3 	0.2 	21.3 	4.3 	1.2 	7.9 	17.6 	3.7 	1.5 	8.8 
A,PC,PT	0.0 	0.0 	3.8 	0.0 	0.0 	63.5 	0.0 	0.0 	0.3 	15.6 	0.0 	2.8 	38.2 	0.0 	0.1 	4.3 	0.0 	2.3 	0.0 	4.0 	0.0 	0.0 	34.8 
A,PC,RO	14.1 	1.6 	2.2 	15.5 	0.5 	0.0 	0.0 	7.9 	0.5 	1.3 	0.0 	0.2 	20.5 	1.3 	0.7 	2.1 	0.3 	1.5 	0.1 	0.4 	13.7 	0.1 	14.7 
A,PC,RS	42.7 	3.9 	0.3 	6.2 	0.0 	0.0 	0.0 	4.8 	0.0 	0.1 	0.0 	0.6 	19.0 	2.1 	0.0 	0.5 	0.0 	3.6 	0.0 	0.1 	0.6 	1.7 	15.7 
A,PC,SE	0.0 	0.0 	0.3 	2.5 	0.7 	0.2 	2.0 	0.1 	0.5 	1.4 	1.3 	0.4 	0.0 	0.2 	0.8 	1.9 	2.0 	3.5 	12.4 	4.8 	3.6 	3.8 	3.8 
A,PC,SI	7.8 	0.0 	0.6 	42.1 	0.0 	0.0 	0.0 	0.4 	0.0 	0.0 	0.0 	6.0 	18.7 	0.1 	0.0 	0.6 	0.2 	10.8 	0.3 	0.6 	1.1 	2.0 	52.4 
A,PC,SK	1.2 	0.0 	0.7 	18.1 	0.0 	0.0 	0.0 	1.2 	0.0 	0.0 	0.0 	0.0 	29.0 	1.8 	1.0 	9.8 	1.1 	7.8 	2.3 	1.0 	0.1 	0.2 	20.7 
A,PC,TR	3.4 	7.4 	0.0 	1.9 	0.4 	0.1 	1.0 	14.4 	13.9 	0.2 	0.8 	0.0 	0.2 	0.9 	6.1 	0.0 	2.7 	6.5 	0.9 	1.6 	3.2 	19.6 	8.5 
A,PC,XK	11.8 	3.7 	0.0 	1.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	10.6 	0.0 	0.0 	0.2 	0.0 	0.1 	0.0 	6.1 	2.7 	7.1 	11.1 
